;city;firm;url;phone
53;Красноярск;1С:Первый Бит, Красноярск, Центральный офис;http://krasnoyarsk.1cbit.ru/;(391) 200-2500
54;Уфа;1С:Первый Бит, Уфа;;(347) 292-7280
55;Новосибирск;1С:Первый Бит, Новосибирск – м. Гагаринская;http://novosibirsk.1cbit.ru/;(383) 209-3144
56;Челябинск;1С-Рарус Челябинск;https://rarus.ru/chel/;(351) 771-8811
57;Калининград;1С:Первый Бит, Калининград;http://kaliningrad.1cbit.ru/;(4012) 61-1999
58;Тула;СофтЭксперт;http://www.sfx-tula.ru/;(4872) 70-0270
59;Ташкент;"Внедренческий центр ""FIDES""";http://www.fides.uz/;(998 78) 150-4147
60;Нижний Новгород;1С:Первый Бит, Н. Новгород, пл. Революции;http://nizhniy.1cbit.ru/;(831) 435-8888
61;Москва;RG-Soft;http://rg-soft.ru;(495) 989-2216
62;Санкт-Петербург;АРГОС КОНСАЛТ;https://argos1c.ru/;(812) 603-4603
63;Санкт-Петербург;1С:Первый Бит, Санкт-Петербург – м. Московская;http://spb.1cbit.ru/;(812) 334-1199
64;3;;;
65;;;;
66;Ставрополь;СтавАналит;http://www.stavanalit.ru/;(8652) 99-1070
67;Оренбург;1С:БИЗНЕС РЕШЕНИЯ;http://www.b-rs.ru/;(3532) 43-0517
68;Краснодар;1С:Первый Бит, Краснодар, ул. Кожевенная;http://krasnodar.1cbit.ru/;(861) 203-12-13
69;Екатеринбург;АСП;http://asp-edu.ru/;(343) 222-1250
70;Кемерово;Бизнес-Софт Технологии;http://www.bs1c.ru/;(3842) 65-7090
71;Нижний Новгород;"Компания ""КомплектСофт""";https://agentura-soft.ru/;(831) 433-4483
72;Калининград;БЮРО АЙТИ;http://buroit.org/;(4012) 99-2299
73;Иркутск;1С:Первый БИТ, Иркутск;http://irkutsk.1cbit.ru/;(3952) 29-5050
74;Новосибирск;1С:Первый Бит, Новосибирск, Маяковский;http://novosibirsk.1cbit.ru/;(383) 209-3970
75;Минск;Хьюмен Интел Систем;http://www.hs.by/;(+375 17) 388-15-20
76;Москва;1С:Первый Бит, Москва - м. Марксистская;http://www.pulsar.ru/;(495) 234-4441
77;Санкт-Петербург;Диалог Информационные Технологии;http://www.dialogit.ru;(812) 317-0007
78;Севастополь;"Центр автоматизации ""Кутузов""";http://www.kutuzov-it.com/;(8692) 55-5301
79;Волгоград;Айлант;http://www.ailant.com.ru/;(8442) 26-2525
80;Екатеринбург;Айтекс-1С;http://www.itex-1c.ru/;(343) 222-1720
81;Пенза;1С:Первый БИТ, Пенза;http://penza.1cbit.ru/;(+7 8412) 201911
82;Москва;Содействие Автоматизации Бизнеса;http://1sab.ru/;(495) 204-1922
83;Алматы;1С:Франчайзинг.Слава;https://1c-sapa.kz/;(727) 221-7050
84;Тверь;Визард-С;http://www.wizard-c.ru/;(4822) 65-5857
85;Липецк;Компания  Автоматизация;http://www.avt1c.ru/;(4742) 20-0385
86;Усть-Каменогорск;1С-Рейтинг;http://1c-rating.kz/;(7232) 20-3080
87;Красноярск;"ВЦ ""ТехноСофт""";http://softer.ru/;(391) 222-2220
88;Екатеринбург;АиБ + ЭРИКОС;http://www.ericos.ru;(343) 370-6206
89;Москва;Ю-Софт;http://www.1c-usoft.ru/;(495) 134-1224
90;Воронеж;Ангелы IT;https://1c.angelsit.ru/;(473) 255-5007
91;Москва;"Первый Дом Консалтинга ""Что делать Консалт""";https://www.4dk.ru/1c;(495) 784-7733
92;Екатеринбург;РИЦ-1С;http://www.ric-1c.ru/;(343) 351-7676
93;Пермь;1С:Первый Бит, Пермь;;(342) 207-0090
94;Ижевск;1С:Первый Бит, Ижевск;;(3412) 95-6996
95;Екатеринбург;1С:Первый Бит, Екатеринбург, Реальная автоматизация;http://burg.1cbit.ru/;(343) 357-99-60
96;4;;;
97;;;;
98;Ярославль;АйТи-Консалтинг;http://itcons76.ru/;(4852) 59-3333
99;Иркутск;"Группа компаний ""Форус""";http://www.forus.ru/;(3952) 78-0000
100;Гродно;"Группа компаний ""СофтСервис""";http://www.softservice.by/;(375152) 610354
101;Хабаровск;Софт-Сервис Амур;http://www.dvsoft.ru/;(4212) 79-9699
102;Ярославль;"Компания ""Баланс""";http://1c.yaroslavl.ru/;(4852) 20-1020
103;Самара;1С-Рарус Самара;https://rarus.ru/?city=samara;(846) 202-2770
104;Липецк;1С:Франчайзи А-Софт;https://asoft48.ru/;(4742) 22-4024
105;Владимир;1С:Первый Бит, Владимир;https://vladimir.1cbit.ru/;(4922) 47-4808
106;Севастополь;1С-Рарус Севастополь;https://rarus-crimea.ru/;(8692) 67-3537
107;Набережные Челны;"Группа компаний ""ЛИСТ""";http://www.gkk.ru;(8552) 53-4680
108;Москва;1С:Франчайзи Виктория;http://www.1c-victory.ru;(495) 786-2146
109;Москва;ХК ГРУПП;http://www.homnet.ru/;(495) 532-6139
110;Мурманск;"Группа компаний ""Корунд""";http://www.korund-s.ru/;(8152) 44-2442
111;Волгоград;1С:Первый Бит, Волгоград;http://volgograd.1cbit.ru/;(8442) 26-2727
112;Краснодар;Консоль-сопровождение;http://consol-1c.com/;(861) 224-0222
113;Нижний Новгород;1С:Франчайзи ЦЕНТР;https://centr.one;(831) 282-0820
114;Йошкар-Ола;1С-Рарус Йошкар-Ола;http://www.avtorsoft.ru/;(8362) 23-2444
115;Алматы;"Группа компаний ""Диалог""";http://www.dialogs.kz/;(727) 390-22-11
116;Москва;"Внедренческий центр ""Домино Софт""";http://www.domino.msk.ru/;(495) 784-7193
117;Санкт-Петербург;"Группа Компаний ""ОМЕГА""";https://omegafuture.ru/;(812) 448-0148
118;Томск;1С:Первый БИТ, Томск;http://tomsk.1cbit.ru/;(3822) 90-0228
119;Уфа;ГK Софт-Сервис;http://www.soft-servis.ru/;(347) 222-2021
120;Москва;1С:Первый Бит, Москва - м. Савеловская;http://1cbit.ru/;(495) 748-1234
121;Калининград;Центр бухгалтерии и автоматизации;http://cba39.ru/;(4012) 999-388
122;Петрозаводск;Неосистемы Северо-Запад ЛТД;http://neosystems.ru/;(8142) 67-2120
123;Новороссийск;1С:Первый Бит, Новороссийск;https://novoros.1cbit.ru/;(8617) 30-1616
124;Тольятти;ПрограмМастер;http://www.programmaster.ru/;(8482) 52-6070
125;Ульяновск;"ВЦ ""Раздолье""";https://1c.razdolie.ru/;(8422) 41-2882
126;Челябинск;Автоматизация бизнеса;http://www.1cab.ru/;(351) 242-0409
127;Ростов-на-Дону;1С-Рарус Ростов-на-Дону;http://rarus.ru/?city=rnd;(863) 333-0180
128;5;;;
129;;;;
130;Екатеринбург;1-й Советник;http://www.sovetnik1c.ru/;(343) 383-4595
131;Москва;1С-КСУ;http://www.1c-ksu.ru/;(495) 955-9037
132;Махачкала;"1С:Франчайзинг. Фирма ""КИН""";http://www.firmakin.ru/;(8722) 56-0570
133;Калуга;Группа Компаний КАМИН;http://www.kaminsoft.ru/;(4842) 27-9722
134;Сочи;Альфа-Софт;https://www.alpha-soft.ru/;(862) 296-0070
135;Пермь;"Группа компаний ""Автоматизация учета""";http://www.auperm.ru/;(342) 207-49-05
136;Химки;1С:Первый Бит, Химки;http://khimki.1cbit.ru/;(495) 748-0107
137;Воронеж;Числа;http://www.4isla.ru/;(473) 210-0021
138;Зеленоград;БЦ ПРОФИТ;http://www.bcprofit.ru/;(499) 444-0723
139;Волгоград;Волгасофт;http://www.volga-soft.ru/;(8442) 90-0620
140;Кемерово;1С:Первый Бит, Кемерово;http://kemerovo.1cbit.ru/;(3842) 45-2245
141;Тула;БАЛАНС;http://www.vcbalance.ru/;(4872) 25-9952
142;Нур-Султан;1С:Первый Бит, Нур-Султан;http://astana.1cbit.kz/;(7172) 73-49-90
143;Рязань;ЭКСПЕРТ;http://www.expert-rzn.ru/;(4912) 24-6404
144;Минск;Интеллектуальные системы;https://www.is.by;(375 17) 361-6161
145;Ставрополь;Бизнес ИТ;http://www.biz-it.ru/;(8652) 99-1000
146;Минск;Мисофт;http://www.misoft.by;(37517) 348-56-56
147;Тюмень;"Группа Компаний ""Тюмень-Софт""";http://www.tyumen-soft.ru/;(3452) 68-0960
148;Владивосток;Созвездие;http://www.szv.ru/;(423) 277-4177
149;Москва;EFSOL;https://efsol.ru/;(495) 230-0303
150;Ростов-на-Дону;Ай-Ти Центр Рыбасова;http://www.it-cr.ru/;(863) 220-3201
151;Пермь;Проектные решения;http://www.prorise.ru/;(342) 215-5455
152;Ставрополь;ГК Статус;http://www.status26.ru/;(8652) 998-000
153;Воронеж;1С-РАРУС Воронеж;http://rarus.ru/vrn/;(473) 233-0006
154;Челябинск;Микос;http://www.mikos.ru/;(351) 222-0022
155;Уфа;"Группа компаний ""Онлайн""";http://www.online-ufa.ru;(347) 223-8228
156;Москва;CorpSoft24™ – Корпоративные ИТ сервисы;https://www.corpsoft24.ru/;(495) 983-0412
157;Тамбов;Сервис-Софт;http://servis-soft.com/;(4752) 43-1122
158;Москва;"Внедренческий центр ""Раздолье""";http://www.razdolie.ru/;(495) 229-4404
159;Москва;Гранд Проект;https://grandproject.ru/;(495) 777-3349
160;6;;;
161;;;;
162;Воронеж;"Компания ""АНТ-ХИЛЛ""";http://www.1c-ant.ru/;(473) 202-2010
163;Москва;"Группа компаний ""Софт-Юнити""";http://soft-unity.ru/;(495) 540-4114
164;Москва;ХЭНДИСОФТ;http://handy-soft.com/;(495) 782-8747
165;Екатеринбург;1С:Франчайзи. ЦЕНТР ПОДДЕРЖКИ ПОЛЬЗОВАТЕЛЕЙ;http://www.1c-ural.ru/;(343) 228-5910
166;Омск;Автоматизация;https://automate.ru/;(3812) 30-88-88
167;Белгород;Софт-Юнион;http://www.softunion.ru;(4722) 52-0911
168;Москва;КиТ;http://www.firmakit.ru/;(495) 657-9598
169;Оренбург;1С:Первый Бит, Оренбург;http://orenburg.1cbit.ru/;(3532) 37-6837
170;Чебоксары;ЛИДЕР СОФТ;http://www.lidersoft21.ru/;(8352) 20-2858
171;Самара;ПромИнфоКонсалт;http://www.prominfo.org/portfolio/proizvodstvo/;(846) 200-7700
172;Курск;Мега-Ком;http://kmkom.ru/;(4712) 73-5566
173;Ставрополь;Портал-Юг Ставрополь;http://www.portal-yug.ru/;(8652) 23-7330
174;Хабаровск;1C:Франчайзи Логия;http://www.dvlog.ru/;(4212) 35-8188
175;Тамбов;1С:Первый Бит, Тамбов;https://tambov.1cbit.ru/;(4752) 42-7090
176;Красноярск;Актив Плюс;http://www.activplus.ru/;(391) 291-1922
177;Самара;РОСИНФО;https://rosinfo63.ru/;(846) 279-4826
178;Минск;Системные решения;https://www.sys.by/;(17) 257-03-03
179;Калининград;ГК Решение;https://gkreshenie.ru/;(4012) 38-5888
180;Санкт-Петербург;Кодерлайн Северо-Запад;https://spb.koderline.ru/;(812) 407-2589
181;Караганда;1С:Франчайзи Пласт;http://www.plast.com.kz/;(7212) 439800
182;Рязань;Промавтоматика;http://www.pa-rzn.ru/;(4912) 50-1020
183;Сочи;1С:Первый Бит, Сочи;https://sochi.1cbit.ru/;(8622) 64-0303
184;Санкт-Петербург;Лоза;http://www.loza.spb.ru/;(812) 655-5605
185;Москва;1С:Первый Бит, Москва - м. Таганская;http://www.1cbit.ru/;(495) 748-4000
186;Нур-Султан;Кварта ЛТД;http://www.kvarta.kz/shop/1s/;(7172) 69-5800
187;Краснодар;Програмтех;http://www.programteh.ru/;(861) 292-0392
188;Кемерово;"Центр Внедрения и Сопровождения ""ИстЛайн""";https://1cistline.ru/;(3842) 90-0678
189;Кострома;Гелиос-С;http://www.gelios-s.ru/;(4942) 42-2000
190;Ставрополь;БЕСТСОФТ;http://www.бестсофт.рф/;(8652) 22-6600
191;Новосибирск;Гигабайт;http://www.gigansk.ru/;(383) 363-6125
192;7;;;
193;;;;
194;Москва;Такском;http://taxcom.ru/1C/;(495) 739-0795
195;Минск;ЮКОЛА-ИНФО;http://www.jukola.info/;(37517) 282-8903
196;Москва;GRADUM;https://www.gradum.ru/;(495) 741-4674
197;Ростов-на-Дону;Технологии учета;http://tu-don.ru/;(863) 209-8058
198;Москва;"""Комкон проект""группа компаний";http://www.komkon.ru/;(495) 621-1142
199;Жуковский;"Группа компаний ""ИНФОТЕХ""";http://1c.inc.ru/;(498) 484-7775
200;Ярославль;1С:Первый Бит, Ярославль;https://yaroslavl.1cbit.ru/;(4852) 31-6255
201;Костанай;1С:Первый Бит, Костанай;http://kostanai.1cbit.kz/;(7142) 39-38-38
202;Москва;НЭП;https://www.nep-group.ru/;(+7 495) 120-4045
203;Санкт-Петербург;Амбер;http://www.amber.spb.ru;(812) 244-0161
204;Севастополь;1С:Первый Бит, Севастополь;;(8692) 41-7080
205;Брест;ЮКОЛА-ИНФО-Брест;http://1soft.by/;(175) 51-0055
206;Санкт-Петербург;1С:Первый Бит, Санкт-Петербург – м. Площадь Восстания;http://spb.1cbit.ru/;(812) 334-12-02
207;Екатеринбург;Техно-линк;http://www.tlink.ru/;(343) 288-75-45
208;Тольятти;Тольятти-Софт;http://www.tolyatisoft.ru/;(8482) 95-5999
209;Симферополь;Нексофт;http://neclab.ru/;(365) 277-7355
210;Ижевск;СОФТ МАСТЕР;https://www.izhsm.ru/;(3412) 90-8990
211;Курск;Лайнкор;http://linecore.ru/;(4712) 77-1306
212;Пенза;ГК Алгоритм-Сервис;http://www.algo-s.ru/;(8412) 44-5491
213;Набережные Челны;Внедренческий Центр СТИВ;http://www.stiv.ru/;(8552) 477190
214;Ярославль;ГК Спектр-Автоматика;https://spau.ru/;(4852) 737-737
215;Москва;1С-АналитИКС;http://www.analit.ru/;(495) 775-8132
216;Москва;"Центр ""ФОРВАРД""";https://center-forward.ru/;(8452) 24-7777
217;Абакан;Хакасия.ру;http://www.khakasia.ru/;(3902) 30-6019
218;Выселки;А-Софт;http://www.asoft-kuban.ru/;(86157) 7-2648
219;Мытищи;"ИЦ ""Логос-К""";http://www.logos-k.ru/;(495) 583-8888
220;Санкт-Петербург;SHP CENTER;http://6444444.ru/;(812) 644-4444
221;Омск;Процессор-Сервис;http://www.proces.ru/;(3812) 21-0131
222;Москва;КОРУС Консалтинг СНГ;https://www.esphere.ru/products/1c/;(800) 555-5550
223;Смоленск;Простые решения;http://www.1eska.ru/;(4812) 30-2606
224;8;;;
225;;;;
226;Волгоград;АВК-система;http://www.avk-system.ru/;(8442) 26-2745
227;Новокузнецк;"Фирма ""АНВИК Софт""";http://anvic.ru/;(3843) 72-2435
228;Тула;Центр автоматизации учета;http://www.tca-tula.ru/;(4872) 23-1982
229;Тула;Гильдия консультантов;http://www.1cgk.ru/;(4872) 71-0344
230;Казань;Арсансофт;http://www.arsansoft.ru/;(843) 567-2287
231;Архангельск;"АО ""АРБИС""";http://www.arbis29.ru/;(8182) 42-0232
232;Ижевск;Баланс-Сервис;http://www.balans-s.ru/;(3412) 65-5655
233;Тамбов;Компьютер-Софт;http://www.ksoft-tambov.ru/;(4752) 56-5066
234;Екатеринбург;Технологии автоматизации;http://ta-ural.ru/;(343) 247-8545
235;Казань;КОМЛАЙН;https://1ccl.ru/;(843) 200-1122
236;Белгород;БИГ;http://www.585585.ru/;(4722) 58-5585
237;Нижний Тагил;1С:Франчайзи. Субконто;https://66soft.ru/1c/;(343) 3023365
238;Самара;ГК СОВРЕМЕННЫЕ ТЕХНОЛОГИИ;https://cso.sov-teh.ru/;(846) 222-9000
239;Челябинск;"Компания ""Сканд""";http://www.ckand.ru/;(351) 729-8510
240;Орехово-Зуево;Софт Сервис;http://1s-franch.ru/;(496) 416-9554
241;Пермь;ГК Oxtron;http://oxtron.ru/;(342) 217-0000
242;Казань;Центр автоматизации;https://kazan.ceavt.ru/;(843) 204-5545
243;Санкт-Петербург;Группа компаний 1C-MSSOFT.RU;http://msnet.ru/;(812) 385-2222
244;Красноярск;Soft-Сервис;http://www.softs24.ru/;(391) 293-7705
245;Минск;"группа компаний ""Аверсон""";http://averson.by/;(+37517) 264-20-18
246;Улан-Удэ;"Группа компаний ""Стэк""";http://www.stack03.ru/;(3012) 21-6911
247;Москва;А-Дата;https://a-data.pro/;(495) 988-3225
248;Орск;Точные решения;http://www.221767.ru/;(3537) 22-1767
249;Алматы;1С:Франчайзи FAVOR-IT;http://www.favor-it.kz/;(727) 3232777
250;Москва;"Консалтинговая группа ""Инспро""";http://www.inspro.ru/;(495) 787-5265
251;Москва;Армекс Информационные Технологии;http://www.armex.ru/;(495) 585-0659
252;Обнинск;Центр Автоматизации;http://www.65555.ru/;(48439) 6-5555
253;Москва;ИТС Автомат (м. ВДНХ);http://its-avtomat.ru;(495) 796-7503
254;Симферополь;Портал-Юг Крым;http://www.portal-yug.ru/?CITY=8594;(3652) 50-0869
255;Мурманск;"Группа компаний ""ЦБИБ""";http://www.cbib.ru/;(8152) 23-4841
256;9;;;
257;;;;
258;Вологда;ЛОГАСОФТ;http://www.logasoft.ru/;(8172) 23-10-10
259;Саратов;ИТ Эксперт;http://www.it-saratov.ru/;(8452) 79-3636
260;Волгоград;1С:Первый Бит (Директ Проект), Волгоград;https://volgograd.1cbit.ru/;(8442) 55-0123
261;Йошкар-Ола;1С:Первый Бит, Йошкар-Ола;http://yoshkar-ola.1cbit.ru/;(8362) 34-8696
262;Владимир;"Компания ""Лоцман Бизнес-Технологий""";http://www.lotsman-bt.ru/;(4922) 44-1555
263;Брянск;Деснол Софт;http://www.desnolsoft.ru/;(4832) 32-0509
264;Киров;Электрон;http://www.electron.ru/;(8332) 71-4910
265;Зеленоград;МИКО;http://www.miko.ru;(495) 229-3042
266;Санкт-Петербург;"Консалтинговая группа  ""АКСИОМА""";http://www.aksioma-gk.ru/;(812) 449-2549
267;Ярославль;Ярософт;http://www.yarosoft.ru/;(4852) 59-4546
268;Санкт-Петербург;Софт Сайд;http://softside.ru/obslujivanye-1C;(812) 318-5773
269;Владивосток;Dexcel;http://dexcel.ru/;(423) 275-6676
270;Пенза;Максофт;http://maksoft-optima.ru/;(8412) 23-1161
271;Ташкент;ABSOFT;https://absoft.uz/;(+998 71) 200-55-99
272;Новосибирск;Компьютеры и сети;http://www.c-lan.ru/;(383) 236-1234
273;Мурманск;Центр консалтинговых проектов;http://www.it-murman.ru/;(8152) 78-7739
274;Нижний Новгород;1С:Франчайзинг. ИНФОРМПОВОЛЖЬЕ;http://www.informp.ru/;(831) 215-1495
275;Киров;"Группа компаний ""МастерСофт""";http://ms1c.ru/;(8332) 22-2244
276;Самара;Бизнес Навигатор;http://www.binavigator.ru/;(+7 800) 775-4505
277;Баку;AKBIS;http://www.akbis.az/;(+99412) 480-16-03/33
278;Орел;Бизнес-Логика;http://www.buslog.ru/;(4862) 44-2767
279;Орел;Техинформ;http://tehinform.pro/;(4862) 76-3399
280;Донецк (Ростовская область);Бюджет Консалтинг;http://www.1sbk.ru/;(86368) 2-1817
281;Волгоград;АВИКО;http://www.avico.ru/;(8442) 75-8383
282;Москва;Антегра Консалтинг;http://www.antegra.ru/;(495) 230-2002
283;Санкт-Петербург;ПитерСофт;http://piter-soft.ru/;(812) 333-0860
284;Владивосток;1С:Первый БИТ, Владивосток;https://vladivostok.1cbit.ru/;(423) 279-5852
285;Владивосток;ВЛ-Консалтинг;http://www.vl-k.su/;(423) 2620-640
286;Красноярск;"Группа компаний ""Высокие Технологии Бизнеса""";http://companyvtb.ru/;(391) 205-0120
287;Москва;ERP-prof;http://www.erp-prof.ru;(495) 411-1197
288;10;;;
289;;;;
290;Самара;"Компания ""Байт""";http://www.byte-1c.ru/;(846) 207-57-97
291;Брянск;Ай Ти Сервис;http://www.itsf.ru/;(4832) 68-7755
292;Новосибирск;"Аудиторская фирма ""МИАЛаудит""";;(383) 335-8441
293;Астрахань;"Группа компаний ""Бест""";http://www.astra-best.ru/;(499) 6488621
294;Ульяновск;ПРОФ-ИТ Групп;http://prof-itgroup.ru/;(8422) 40-6006
295;Нур-Султан;Аксиома А;http://axm.kz;(7172) 97-89-69
296;Жуковский;"1С:Франчайзи ""ИТС Консультант""";http://itsconsultant.ru/;(495) 762-9260
297;Москва;АСТЭЛ;http://www.astele.ru/;(495) 956-0790
298;Краснодар;"ЦЕНТР АВТОМАТИЗАЦИИ ""СЛАВЕР""";https://sla-v.ru/;(861) 206-60-13
299;Воронеж;"ГК ""Комплексная автоматизация""";http://1ckab.ru/;(473) 200-0473
300;Краснодар;Мистер Чек;https://mrcheck.ru/1c/;(861) 204-0664
301;Ашхабад;Ак сахыпа;http://aksahypa.com/;(+99 362) 401090
302;Москва;АЛП-Информационные системы;http://www.alp-erp.ru/;(495) 785-5151
303;Комсомольск-на-Амуре;1С:Франчайзи Бухгалтер;http://www.1cfbuh.ru/;(4217) 543-777
304;Липецк;"Группа компаний ""Интеллект-Плюс""";http://www.intellekt48.ru/;(4742) 556-960
305;Санкт-Петербург;ITLand;http://itland.ru/;(812) 448-1255
306;Тольятти;ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ;https://it-1c.ru/;(8482) 51-1000
307;Уфа;Кодерлайн Софт-портал;http://www.soft-portal.ru/;(347) 222-03-33
308;Алматы;Exsolcom ТОО;http://www.exsolcom.kz/index.php;(727) 313-1030
309;Орехово-Зуево;КРОНАС-СКТ;http://www.cronas-skt.ru/;(496) 415-1317
310;Бишкек;1С-Като Экономикс;http://www.1c-kato.kg/;(312) 486666
311;Муром;"Компания ""КомплектСофт""";https://agentura-soft.ru/;(49234) 2-6773
312;Красногорск;Программные технологии;http://1axbit.ru/;(499) 398-0165
313;Нижний Новгород;Константа;https://konstanta-it.ru/products1c;(831) 28-28-227
314;Оренбург;РЕБИС - Альфа-Софт;http://www.rebis-online.ru/;(3532) 30-3333
315;Краснодар;Обсидиан;http://www.obsidian1c.ru/;(861) 248-9841
316;Москва;АйТи Капитал (IT Capital);http://www.it-capital.ru/;(495) 231-7869
317;Санкт-Петербург;УльтраЮнион Центр Информационных Технологий;http://www.ultraunion.ru/;(812) 648-0077
318;Владивосток;"Группа компаний ""Модус""";http://www.vdc-1c.ru/;(423) 260-8840
319;Новокузнецк;"Группа компаний ""Синерго""";http://www.sinergo.ru/;(3843) 32-2101
320;11;;;
321;;;;
322;Новокузнецк;АйТи-Сервис;http://www.serve-it.ru/;(3843) 60-9083
323;Воскресенск;МАКСИМА КОНСАЛТИНГ;http://cpa-1c.ru/;(499) 700-0063
324;Саратов;"Группа компаний ""Компьютерный аудит""";http://www.compaud.com/;(8452) 26-5705
325;Липецк;Мавлад;https://mavlad.ru/;(4742) 522334
326;Смоленск;Легасофт;http://www.legasoft.ru/;(4812) 70-0102
327;Ульяновск;ВЦ СОФТ ПЛЮС;http://www.soft-plus.ru/;(8422) 38-4348
328;Красноярск;ИКС-Фрэйм;http://www.x-frame.ru/;(391) 205-0105
329;Тольятти;ТРИО;http://trio-tlt.ru/;(8482) 55-5605
330;Санкт-Петербург;"Группа компаний ""ЧДК""";https://vc4dk.ru/;(812) 334-4471
331;Москва;Infosuite;http://www.infosuite.ru/;(495) 0092010
332;Чебоксары;Франчайзи-Сервис;http://fran21.ru/;(8352) 22-6222
333;Москва;ОРТИКОН;http://www.orticongroup.ru/;(495) 995-1580
334;Москва;Axiont ERP Band;https://erp-business.ru;(495) 050-4444
335;Ижевск;СИТЕК;http://www.sitec-it.ru/;(3412) 95-6801
